formula,chemical_compound_name,Cp_298_J_per_molK,calculation_method,comment,smiles,pubchem_cid,pubchem_matched_name,lookup_status,smiles_found
C5H12O,butyl methyl ether,125.197,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCOC,12338.0,1-methoxybutane,ok,True
C5H12O,ethyl propyl ether,125.69,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCOCC,12340.0,1-ethoxypropane,ok,True
C6H8,"1,4-cyclohexadiene",93.44,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1=CCC=CC1,12343.0,"cyclohexa-1,4-diene",ok,True
C2H2O2,ethanedial,59.572,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=CC=O,7860.0,oxaldehyde,ok,True
CO,carbon monoxide,29.125,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,[C-]#[O+],281.0,carbon monoxide,ok,True
C2H4O2,methyl methanoate,65.955,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COC=O,7865.0,methyl formate,ok,True
C2H6O,ethanol,65.734,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCO,702.0,ethanol,ok,True
CH2O2,formic acid,44.87,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=CO,284.0,formic acid,ok,True
C2H4O2,acetic acid,68.864,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(=O)O,176.0,acetic acid,ok,True
C5H10,(E)-2-pentene,106.107,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C/CC,5326161.0,(E)-pent-2-ene,ok,True
C6H12,(E)-4-methyl-2-pentene,129.393,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C/C(C)C,172092.0,(E)-4-methylpent-2-ene,ok,True
C4H4O2,4-methylene-2-oxetanone,87.026,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C1CC(=O)O1,12661.0,4-methylideneoxetan-2-one,ok,True
CH4O,methanol,45.585,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CO,887.0,methanol,ok,True
C3H8O,propan-2-ol,89.074,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)O,3776.0,propan-2-ol,ok,True
C3H6O,acetone,79.632,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)=O,180.0,propan-2-one,ok,True
C3H7NO,dimethylformamide,92.883,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CN(C)C=O,6228.0,"N,N-dimethylformamide",ok,True
C2H6O2,dimethyl peroxide,80.281,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COOC,136492.0,methylperoxymethane,ok,True
C6H10,1-hexyne,120.976,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C#CCCCC,12732.0,hex-1-yne,ok,True
C6H10,1-methylcyclopentene,105.709,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC1=CCCC1,12746.0,1-methylcyclopentene,ok,True
C6H14,2-methylpentane,135.363,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCC(C)C,7892.0,2-methylpentane,ok,True
C3H8O,propan-1-ol,86.267,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCO,1031.0,propan-1-ol,ok,True
C4H10O,butan-1-ol,106.733,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCCO,263.0,butan-1-ol,ok,True
C6H6,benzene,81.815,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1ccccc1,241.0,benzene,ok,True
C4H8O2,butanoic acid,109.568,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCCC(=O)O,264.0,butanoic acid,ok,True
CH4,methane,35.554,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C,297.0,methane,ok,True
C3H8,propane,71.126,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC,6334.0,propane,ok,True
